,close,high,low,open,time,volume,Timestamp
0,2446.95,2448.0,2445.9,2447.8,1750837680,4190,2025-06-25 07:48:00
1,2446.5,2446.8,2445.95,2446.65,1750837740,2147,2025-06-25 07:49:00
2,2446.0,2446.6,2445.75,2446.5,1750837800,2043,2025-06-25 07:50:00
3,2444.15,2445.75,2443.75,2445.65,1750837860,12434,2025-06-25 07:51:00
4,2444.25,2444.75,2444.0,2444.05,1750837920,8197,2025-06-25 07:52:00
5,2444.05,2444.85,2443.6,2444.35,1750837980,4433,2025-06-25 07:53:00
6,2442.95,2444.05,2442.55,2444.05,1750838040,18315,2025-06-25 07:54:00
7,2442.95,2443.15,2442.2,2442.85,1750838100,7905,2025-06-25 07:55:00
8,2443.1,2443.9,2442.6,2443.75,1750838160,9091,2025-06-25 07:56:00
9,2444.95,2445.1,2443.0,2443.1,1750838220,6364,2025-06-25 07:57:00
10,2444.9,2445.1,2444.2,2444.95,1750838280,2212,2025-06-25 07:58:00
11,2443.55,2444.8,2443.55,2444.8,1750838340,5297,2025-06-25 07:59:00
12,2443.95,2444.7,2443.8,2443.85,1750838400,4383,2025-06-25 08:00:00
13,2444.9,2445.3,2444.25,2444.25,1750838460,3840,2025-06-25 08:01:00
14,2443.8,2444.95,2443.55,2444.85,1750838520,3772,2025-06-25 08:02:00
15,2440.65,2443.9,2440.3,2443.8,1750838580,25542,2025-06-25 08:03:00
16,2439.55,2440.65,2439.0,2440.65,1750838640,22949,2025-06-25 08:04:00
17,2438.45,2439.65,2436.45,2439.55,1750838700,56354,2025-06-25 08:05:00
18,2437.55,2438.8,2437.3,2438.4,1750838760,5321,2025-06-25 08:06:00
19,2438.5,2438.9,2437.0,2437.5,1750838820,11074,2025-06-25 08:07:00
20,2437.85,2438.9,2437.7,2438.5,1750838880,7356,2025-06-25 08:08:00
21,2438.8,2438.85,2437.85,2437.85,1750838940,1526,2025-06-25 08:09:00
22,2440.8,2441.4,2438.0,2438.4,1750839000,11412,2025-06-25 08:10:00
23,2439.45,2440.9,2439.45,2440.9,1750839060,2309,2025-06-25 08:11:00
24,2440.3,2440.45,2439.25,2439.45,1750839120,3201,2025-06-25 08:12:00
25,2440.85,2440.85,2439.7,2440.3,1750839180,1666,2025-06-25 08:13:00
26,2441.85,2442.2,2440.4,2440.6,1750839240,20145,2025-06-25 08:14:00
27,2443.65,2445.3,2441.85,2441.95,1750839300,25869,2025-06-25 08:15:00
28,2440.45,2443.65,2440.45,2443.55,1750839360,13263,2025-06-25 08:16:00
29,2441.65,2442.7,2440.45,2440.45,1750839420,9483,2025-06-25 08:17:00
30,2439.55,2441.25,2439.25,2441.25,1750839480,8579,2025-06-25 08:18:00
31,2435.5,2440.1,2434.65,2439.5,1750839540,33162,2025-06-25 08:19:00
32,2436.85,2437.3,2435.4,2435.5,1750839600,16387,2025-06-25 08:20:00
33,2434.85,2437.2,2434.0,2436.6,1750839660,22264,2025-06-25 08:21:00
34,2435.2,2435.9,2434.0,2434.85,1750839720,8246,2025-06-25 08:22:00
35,2434.35,2435.7,2433.55,2435.35,1750839780,10849,2025-06-25 08:23:00
36,2436.0,2436.3,2434.45,2434.55,1750839840,7544,2025-06-25 08:24:00
37,2436.55,2437.0,2435.7,2435.8,1750839900,5263,2025-06-25 08:25:00
38,2438.6,2438.7,2436.8,2436.8,1750839960,16223,2025-06-25 08:26:00
39,2434.75,2438.75,2434.35,2438.7,1750840020,8654,2025-06-25 08:27:00
40,2435.0,2435.4,2433.65,2434.75,1750840080,8610,2025-06-25 08:28:00
41,2433.75,2435.25,2433.0,2434.9,1750840140,9607,2025-06-25 08:29:00
42,2429.3,2433.25,2428.75,2433.25,1750840200,35562,2025-06-25 08:30:00
43,2429.45,2431.3,2427.6,2429.3,1750840260,28387,2025-06-25 08:31:00
44,2430.2,2430.55,2429.05,2429.35,1750840320,12428,2025-06-25 08:32:00
45,2429.0,2430.4,2428.4,2430.1,1750840380,13181,2025-06-25 08:33:00
46,2428.9,2431.0,2428.45,2429.25,1750840440,19995,2025-06-25 08:34:00
47,2430.6,2431.15,2429.35,2429.35,1750840500,7381,2025-06-25 08:35:00
48,2428.9,2430.85,2428.55,2430.8,1750840560,6384,2025-06-25 08:36:00
49,2429.75,2430.9,2428.85,2428.85,1750840620,13614,2025-06-25 08:37:00
50,2429.55,2430.5,2429.45,2429.75,1750840680,702,2025-06-25 08:38:00
51,2430.95,2431.0,2428.65,2429.45,1750840740,7194,2025-06-25 08:39:00
52,2430.65,2430.95,2430.4,2430.9,1750840800,5255,2025-06-25 08:40:00
53,2429.95,2431.4,2429.55,2430.65,1750840860,4640,2025-06-25 08:41:00
54,2429.7,2430.75,2429.45,2430.3,1750840920,6659,2025-06-25 08:42:00
55,2430.45,2431.1,2429.05,2429.7,1750840980,5267,2025-06-25 08:43:00
56,2429.8,2431.1,2429.65,2430.1,1750841040,1771,2025-06-25 08:44:00
57,2430.15,2430.75,2429.1,2429.65,1750841100,6148,2025-06-25 08:45:00
58,2430.3,2430.7,2429.7,2430.15,1750841160,9628,2025-06-25 08:46:00
59,2425.15,2431.2,2425.05,2430.4,1750841220,20476,2025-06-25 08:47:00
60,2426.3,2426.3,2423.7,2425.05,1750841280,52220,2025-06-25 08:48:00
61,2427.4,2428.1,2426.05,2426.3,1750841340,12410,2025-06-25 08:49:00
62,2428.5,2428.75,2426.25,2427.4,1750841400,7714,2025-06-25 08:50:00
63,2426.25,2428.35,2426.05,2428.3,1750841460,5149,2025-06-25 08:51:00
64,2427.85,2428.85,2426.05,2426.15,1750841520,4698,2025-06-25 08:52:00
65,2428.95,2428.95,2427.0,2427.65,1750841580,3686,2025-06-25 08:53:00
66,2428.9,2430.0,2428.45,2428.9,1750841640,17956,2025-06-25 08:54:00
67,2433.75,2433.8,2428.9,2428.9,1750841700,27981,2025-06-25 08:55:00
68,2433.25,2434.85,2433.0,2433.85,1750841760,12439,2025-06-25 08:56:00
69,2435.7,2436.9,2433.4,2433.4,1750841820,25953,2025-06-25 08:57:00
70,2436.05,2437.35,2435.2,2435.5,1750841880,8988,2025-06-25 08:58:00
71,2438.85,2439.2,2435.75,2436.05,1750841940,40834,2025-06-25 08:59:00
72,2438.55,2439.4,2436.7,2439.1,1750842000,17401,2025-06-25 09:00:00
73,2439.2,2439.45,2437.5,2438.55,1750842060,20296,2025-06-25 09:01:00
74,2438.0,2439.35,2437.45,2439.35,1750842120,3943,2025-06-25 09:02:00
75,2436.85,2438.2,2436.75,2438.1,1750842180,9694,2025-06-25 09:03:00
76,2440.6,2443.6,2436.85,2436.85,1750842240,26999,2025-06-25 09:04:00
77,2441.35,2441.65,2440.1,2441.05,1750842300,17773,2025-06-25 09:05:00
78,2444.3,2444.45,2440.85,2441.3,1750842360,25038,2025-06-25 09:06:00
79,2445.3,2446.3,2443.6,2444.25,1750842420,25580,2025-06-25 09:07:00
80,2443.0,2448.15,2439.9,2445.5,1750842480,29055,2025-06-25 09:08:00
81,2444.2,2445.0,2442.95,2442.95,1750842540,13607,2025-06-25 09:09:00
82,2445.3,2445.95,2443.2,2444.1,1750842600,9940,2025-06-25 09:10:00
83,2444.95,2446.5,2444.45,2445.35,1750842660,11848,2025-06-25 09:11:00
84,2444.65,2445.3,2443.8,2444.95,1750842720,14043,2025-06-25 09:12:00
85,2444.8,2445.25,2442.8,2444.55,1750842780,7045,2025-06-25 09:13:00
86,2441.65,2443.9,2440.4,2443.6,1750842840,17194,2025-06-25 09:14:00
87,2443.25,2444.4,2441.5,2441.75,1750842900,8024,2025-06-25 09:15:00
88,2441.7,2443.25,2441.3,2443.25,1750842960,13880,2025-06-25 09:16:00
89,2441.4,2442.95,2441.0,2441.9,1750843020,7960,2025-06-25 09:17:00
90,2441.75,2442.3,2440.45,2441.95,1750843080,4103,2025-06-25 09:18:00
91,2442.4,2443.15,2441.55,2442.25,1750843140,2546,2025-06-25 09:19:00
92,2444.75,2444.9,2442.2,2442.35,1750843200,7995,2025-06-25 09:20:00
93,2443.7,2445.0,2443.6,2444.7,1750843260,8783,2025-06-25 09:21:00
94,2445.65,2445.9,2443.9,2443.9,1750843320,5974,2025-06-25 09:22:00
95,2444.9,2445.55,2443.95,2445.55,1750843380,4504,2025-06-25 09:23:00
96,2442.65,2444.65,2442.05,2444.65,1750843440,4830,2025-06-25 09:24:00
97,2442.2,2443.6,2442.2,2442.9,1750843500,2979,2025-06-25 09:25:00
98,2443.5,2443.95,2441.0,2442.0,1750843560,11238,2025-06-25 09:26:00
99,2444.55,2444.95,2443.35,2443.6,1750843620,10592,2025-06-25 09:27:00
100,2441.55,2444.55,2440.6,2444.55,1750843680,13308,2025-06-25 09:28:00
101,2440.3,2441.5,2440.0,2441.5,1750843740,7770,2025-06-25 09:29:00
102,2440.2,2440.75,2440.0,2440.3,1750843800,6845,2025-06-25 09:30:00
103,2439.15,2440.85,2439.15,2440.5,1750843860,9060,2025-06-25 09:31:00
104,2440.0,2440.0,2438.5,2439.15,1750843920,14289,2025-06-25 09:32:00
105,2441.1,2441.65,2440.0,2440.0,1750843980,8003,2025-06-25 09:33:00
106,2439.65,2441.35,2439.6,2440.95,1750844040,3722,2025-06-25 09:34:00
107,2442.1,2442.1,2439.9,2440.05,1750844100,3559,2025-06-25 09:35:00
108,2433.2,2443.4,2432.25,2442.0,1750844160,50086,2025-06-25 09:36:00
109,2422.55,2433.8,2420.0,2433.3,1750844220,137807,2025-06-25 09:37:00
110,2420.05,2424.2,2416.9,2422.45,1750844280,95881,2025-06-25 09:38:00
