,time,volume,Timestamp,close,open,high,low,RF_BuySignal,RF_SellSignal,rsi_buy,rsi_sell,gaizy_color,GreenArrow,RedArrow,BarIndex,Signal_Final
1970-01-01 00:00:00.000000760,1753029000,756675,2025-07-20 16:30:00,3801.5625,3778.3231422234617,3816.6,3778.3231422234617,0,0,False,False,black,True,False,3.0,1
1970-01-01 00:00:00.000000761,1753029900,564554,2025-07-20 16:45:00,3812.6375,3789.942821111731,3824.9,3789.942821111731,0,0,False,False,black,False,False,1.0,0
1970-01-01 00:00:00.000000762,1753030800,790559,2025-07-20 17:00:00,3790.4500000000003,3801.2901605558654,3809.8,3766.55,0,0,False,True,red,False,False,2.0,0
1970-01-01 00:00:00.000000763,1753031700,474496,2025-07-20 17:15:00,3775.2,3795.870080277933,3795.870080277933,3763.95,0,0,False,False,red,False,True,3.0,-1
1970-01-01 00:00:00.000000764,1753032600,507925,2025-07-20 17:30:00,3765.625,3785.5350401389665,3785.5350401389665,3747.0,0,1,False,False,red,False,False,1.0,-2
1970-01-01 00:00:00.000000765,1753033500,548003,2025-07-20 17:45:00,3747.0375,3775.580020069483,3775.580020069483,3731.45,0,0,False,False,red,False,True,2.0,-2
1970-01-01 00:00:00.000000766,1753034400,286110,2025-07-20 18:00:00,3745.5875,3761.3087600347417,3761.3087600347417,3738.15,0,0,False,False,red,False,False,1.0,0
1970-01-01 00:00:00.000000767,1753035300,332676,2025-07-20 18:15:00,3745.3375,3753.448130017371,3756.0,3730.25,0,0,False,False,red,False,False,2.0,0
1970-01-01 00:00:00.000000768,1753036200,162365,2025-07-20 18:30:00,3746.25,3749.392815008686,3750.4,3738.85,0,0,False,False,red,False,False,3.0,0
1970-01-01 00:00:00.000000769,1753037100,151928,2025-07-20 18:45:00,3749.3999999999996,3747.821407504343,3756.25,3745.65,0,0,False,False,red,False,False,4.0,0
1970-01-01 00:00:00.000000770,1753038000,182108,2025-07-20 19:00:00,3753.3374999999996,3748.6107037521715,3760.6,3744.6,0,0,False,False,red,False,False,5.0,0
1970-01-01 00:00:00.000000771,1753038900,157771,2025-07-20 19:15:00,3759.1375,3750.9741018760856,3764.0,3750.9741018760856,0,0,False,False,red,False,False,6.0,0
1970-01-01 00:00:00.000000772,1753039800,208192,2025-07-20 19:30:00,3762.95,3755.055800938043,3772.7,3755.055800938043,0,0,False,False,red,False,False,7.0,0
1970-01-01 00:00:00.000000773,1753040700,140290,2025-07-20 19:45:00,3756.375,3759.0029004690214,3767.4,3747.25,0,0,False,False,red,False,False,8.0,0
1970-01-01 00:00:00.000000774,1753041600,496673,2025-07-20 20:00:00,3738.775,3757.6889502345107,3757.6889502345107,3716.65,0,0,False,False,red,False,False,9.0,0
1970-01-01 00:00:00.000000775,1753042500,127376,2025-07-20 20:15:00,3736.9249999999997,3748.2319751172554,3748.2319751172554,3729.65,0,0,False,False,red,False,False,10.0,0
1970-01-01 00:00:00.000000776,1753043400,95839,2025-07-20 20:30:00,3742.5875,3742.578487558628,3747.7,3737.0,0,0,False,False,red,False,False,11.0,0
1970-01-01 00:00:00.000000777,1753044300,104754,2025-07-20 20:45:00,3744.7250000000004,3742.582993779314,3754.0,3738.0,0,0,False,False,red,False,False,12.0,0
1970-01-01 00:00:00.000000778,1753045200,157557,2025-07-20 21:00:00,3735.1375,3743.6539968896573,3743.6539968896573,3726.65,0,0,False,False,red,False,False,13.0,0
1970-01-01 00:00:00.000000779,1753046100,179587,2025-07-20 21:15:00,3747.3624999999997,3739.3957484448283,3765.2,3730.8,0,0,False,False,red,False,False,14.0,0
1970-01-01 00:00:00.000000780,1753047000,108897,2025-07-20 21:30:00,3760.075,3743.3791242224142,3768.2,3743.3791242224142,0,0,False,False,red,False,False,15.0,0
1970-01-01 00:00:00.000000781,1753047900,99602,2025-07-20 21:45:00,3766.3999999999996,3751.727062111207,3772.55,3751.727062111207,0,0,False,False,red,False,False,16.0,0
1970-01-01 00:00:00.000000782,1753048800,274703,2025-07-20 22:00:00,3744.5624999999995,3759.0635310556036,3771.3,3714.7,0,0,False,False,red,False,False,17.0,0
1970-01-01 00:00:00.000000783,1753049700,374051,2025-07-20 22:15:00,3715.825,3751.8130155278013,3751.8130155278013,3681.0,0,0,False,False,red,False,True,18.0,0
1970-01-01 00:00:00.000000784,1753050600,165182,2025-07-20 22:30:00,3734.5,3733.8190077639006,3751.65,3711.25,0,0,False,False,red,False,False,1.0,0
1970-01-01 00:00:00.000000785,1753051500,156966,2025-07-20 22:45:00,3750.8625,3734.1595038819505,3760.7,3734.1595038819505,0,0,False,False,red,False,False,2.0,0
1970-01-01 00:00:00.000000786,1753052400,100593,2025-07-20 23:00:00,3743.5125,3742.5110019409753,3748.85,3733.8,0,0,False,False,red,False,False,3.0,0
1970-01-01 00:00:00.000000787,1753053300,77084,2025-07-20 23:15:00,3746.4125,3743.011750970488,3756.2,3740.85,0,0,False,False,red,False,False,4.0,0
1970-01-01 00:00:00.000000788,1753054200,121524,2025-07-20 23:30:00,3751.375,3744.7121254852436,3768.7,3732.7,0,0,False,False,red,False,False,5.0,0
1970-01-01 00:00:00.000000789,1753055100,78748,2025-07-20 23:45:00,3758.375,3748.043562742622,3766.05,3748.043562742622,0,0,False,False,red,True,False,6.0,0
1970-01-01 00:00:00.000000790,1753056000,70079,2025-07-21 00:00:00,3744.3375,3753.2092813713107,3757.2,3731.15,0,0,False,False,red,False,False,1.0,0
1970-01-01 00:00:00.000000791,1753056900,187883,2025-07-21 00:15:00,3726.8125,3748.7733906856556,3748.7733906856556,3710.0,0,0,False,False,red,False,False,1.0,0
1970-01-01 00:00:00.000000792,1753057800,127808,2025-07-21 00:30:00,3726.7749999999996,3737.792945342828,3737.792945342828,3712.45,0,0,False,False,red,False,False,1.0,0
1970-01-01 00:00:00.000000793,1753058700,112648,2025-07-21 00:45:00,3735.875,3732.2839726714137,3747.5,3721.75,0,0,False,False,green,False,False,2.0,0
1970-01-01 00:00:00.000000794,1753059600,113816,2025-07-21 01:00:00,3744.2,3734.079486335707,3754.0,3734.079486335707,0,0,False,False,green,False,False,3.0,0
1970-01-01 00:00:00.000000795,1753060500,137474,2025-07-21 01:15:00,3733.375,3739.1397431678533,3744.4,3721.25,0,0,False,False,green,False,False,4.0,0
1970-01-01 00:00:00.000000796,1753061400,208585,2025-07-21 01:30:00,3718.75,3736.2573715839267,3736.2573715839267,3701.0,0,0,False,False,green,False,False,5.0,0
1970-01-01 00:00:00.000000797,1753062300,119285,2025-07-21 01:45:00,3716.5,3727.503685791963,3727.503685791963,3705.75,0,0,False,False,green,False,False,6.0,0
1970-01-01 00:00:00.000000798,1753063200,116936,2025-07-21 02:00:00,3729.6000000000004,3722.0018428959816,3738.75,3722.0018428959816,0,0,False,False,green,False,False,7.0,0
1970-01-01 00:00:00.000000799,1753064100,175011,2025-07-21 02:15:00,3735.6375,3725.8009214479907,3746.2,3721.9,0,0,False,False,green,False,False,8.0,0
1970-01-01 00:00:00.000000800,1753065000,126965,2025-07-21 02:30:00,3741.925,3730.7192107239953,3749.65,3730.7192107239953,0,0,False,False,green,False,False,9.0,0
1970-01-01 00:00:00.000000801,1753065900,135527,2025-07-21 02:45:00,3743.1499999999996,3736.3221053619977,3749.9,3735.4,0,0,False,False,green,False,False,10.0,0
1970-01-01 00:00:00.000000802,1753066800,273378,2025-07-21 03:00:00,3752.8125,3739.736052680999,3765.0,3739.736052680999,0,0,False,False,green,True,False,11.0,1
1970-01-01 00:00:00.000000803,1753067700,139428,2025-07-21 03:15:00,3759.7749999999996,3746.2742763404995,3766.6,3746.2742763404995,0,0,False,False,green,False,False,1.0,0
1970-01-01 00:00:00.000000804,1753068600,120763,2025-07-21 03:30:00,3755.9125,3753.0246381702495,3760.2,3748.85,0,0,False,False,green,False,False,2.0,0
1970-01-01 00:00:00.000000805,1753069500,93885,2025-07-21 03:45:00,3754.925,3754.4685690851247,3757.8,3749.1,0,0,False,False,green,False,False,3.0,0
1970-01-01 00:00:00.000000806,1753070400,108291,2025-07-21 04:00:00,3760.0625,3754.6967845425625,3763.6,3754.6967845425625,0,0,False,False,green,False,False,4.0,0
1970-01-01 00:00:00.000000807,1753071300,240185,2025-07-21 04:15:00,3766.6375,3757.379642271281,3780.2,3753.25,1,0,False,False,green,True,False,5.0,2
1970-01-01 00:00:00.000000808,1753072200,124648,2025-07-21 04:30:00,3771.8875,3762.0085711356405,3778.8,3762.0085711356405,0,0,False,False,green,False,False,1.0,0
1970-01-01 00:00:00.000000809,1753073100,134336,2025-07-21 04:45:00,3768.2999999999997,3766.94803556782,3775.2,3760.75,0,0,False,False,green,False,False,2.0,0
1970-01-01 00:00:00.000000810,1753074000,153628,2025-07-21 05:00:00,3757.9375,3767.62401778391,3767.62401778391,3750.9,0,0,False,False,green,False,False,3.0,0
1970-01-01 00:00:00.000000811,1753074900,160549,2025-07-21 05:15:00,3753.3250000000003,3762.780758891955,3762.780758891955,3747.0,0,0,False,False,green,False,False,4.0,0
1970-01-01 00:00:00.000000812,1753075800,206376,2025-07-21 05:30:00,3763.275,3758.052879445978,3773.7,3754.45,0,0,False,False,green,False,False,5.0,0
1970-01-01 00:00:00.000000813,1753076700,267030,2025-07-21 05:45:00,3776.025,3760.663939722989,3784.8,3760.663939722989,0,0,False,False,green,False,False,6.0,0
1970-01-01 00:00:00.000000814,1753077600,201387,2025-07-21 06:00:00,3783.7375,3768.344469861495,3788.8,3768.344469861495,0,0,False,False,green,True,False,7.0,0
1970-01-01 00:00:00.000000815,1753078500,451775,2025-07-21 06:15:00,3796.8374999999996,3776.0409849307475,3812.8,3776.0409849307475,0,0,False,False,green,False,False,1.0,0
