,time,volume,Timestamp,RF_BuySignal,RF_SellSignal,rsi_buy,rsi_sell,gaizy_color,GreenArrow,RedArrow,close,open,high,low,BarIndex,Signal_Final
1970-01-01 00:00:00.000000476,1750162320,23.27688,2025-06-17 12:12:00,0,0,False,False,green,False,False,105800.0025,105751.17109024926,105862.03,105751.17109024926,1.0,0
1970-01-01 00:00:00.000000477,1750162380,10.26088,2025-06-17 12:13:00,0,0,False,False,black,False,False,105791.4175,105775.58679512463,105806.69,105770.0,1.0,0
1970-01-01 00:00:00.000000478,1750162440,3.75342,2025-06-17 12:14:00,0,0,False,True,black,False,False,105779.21749999998,105783.5021475623,105783.5021475623,105770.0,2.0,0
1970-01-01 00:00:00.000000479,1750162500,7.58444,2025-06-17 12:15:00,0,0,False,False,black,False,False,105752.1425,105781.35982378115,105782.29,105722.0,3.0,0
1970-01-01 00:00:00.000000480,1750162560,7.6615,2025-06-17 12:16:00,0,0,False,False,black,False,True,105746.175,105766.75116189057,105775.64,105722.0,4.0,-1
1970-01-01 00:00:00.000000481,1750162620,5.99397,2025-06-17 12:17:00,0,0,False,False,black,False,False,105743.55249999999,105756.46308094528,105765.06,105722.04,1.0,0
1970-01-01 00:00:00.000000482,1750162680,9.73496,2025-06-17 12:18:00,0,0,False,False,black,False,False,105726.365,105750.00779047263,105750.00779047263,105720.0,2.0,0
1970-01-01 00:00:00.000000483,1750162740,5.06336,2025-06-17 12:19:00,0,0,False,False,black,False,False,105733.385,105738.18639523632,105754.97,105724.01,3.0,0
1970-01-01 00:00:00.000000484,1750162800,4.04852,2025-06-17 12:20:00,0,0,False,False,red,False,True,105701.5775,105735.78569761815,105735.78569761815,105672.61,4.0,-1
1970-01-01 00:00:00.000000485,1750162860,10.67853,2025-06-17 12:21:00,0,1,False,False,red,False,False,105684.26499999998,105718.68159880908,105718.68159880908,105672.61,1.0,-2
1970-01-01 00:00:00.000000486,1750162920,2.94031,2025-06-17 12:22:00,0,0,False,False,red,False,False,105709.2525,105701.47329940453,105726.56,105695.91,2.0,0
1970-01-01 00:00:00.000000487,1750162980,4.06247,2025-06-17 12:23:00,0,0,False,False,red,False,False,105731.81,105705.36289970228,105762.25,105699.14,3.0,0
1970-01-01 00:00:00.000000488,1750163040,6.77087,2025-06-17 12:24:00,0,0,False,False,red,True,False,105741.965,105718.58644985114,105762.25,105718.58644985114,4.0,0
1970-01-01 00:00:00.000000489,1750163100,3.34303,2025-06-17 12:25:00,0,0,False,False,red,False,False,105727.01749999999,105730.27572492557,105730.27572492557,105724.82,1.0,0
1970-01-01 00:00:00.000000490,1750163160,3.44626,2025-06-17 12:26:00,0,0,False,False,red,False,True,105713.82500000001,105728.64661246278,105728.64661246278,105697.27,2.0,0
1970-01-01 00:00:00.000000491,1750163220,4.60382,2025-06-17 12:27:00,0,0,False,False,red,False,False,105709.035,105721.23580623139,105721.23580623139,105703.91,1.0,0
1970-01-01 00:00:00.000000492,1750163280,7.03812,2025-06-17 12:28:00,0,0,False,False,red,False,True,105689.55,105715.1354031157,105715.1354031157,105675.18,2.0,0
1970-01-01 00:00:00.000000493,1750163340,5.58687,2025-06-17 12:29:00,0,0,False,False,red,False,False,105680.5925,105702.34270155785,105702.34270155785,105675.18,1.0,0
1970-01-01 00:00:00.000000494,1750163400,28.40145,2025-06-17 12:30:00,0,0,False,False,red,False,False,105676.3875,105691.46760077892,105716.53,105651.51,2.0,0
1970-01-01 00:00:00.000000495,1750163460,6.29311,2025-06-17 12:31:00,0,0,False,False,red,False,True,105652.5875,105683.92755038946,105683.92755038946,105620.0,3.0,0
1970-01-01 00:00:00.000000496,1750163520,11.51868,2025-06-17 12:32:00,0,0,False,False,black,False,False,105667.43,105668.25752519473,105704.64,105647.83,1.0,0
1970-01-01 00:00:00.000000497,1750163580,5.14236,2025-06-17 12:33:00,0,0,False,False,red,False,False,105646.815,105667.84376259736,105667.84376259736,105626.47,2.0,0
1970-01-01 00:00:00.000000498,1750163640,6.81945,2025-06-17 12:34:00,0,0,False,False,black,False,False,105650.955,105657.32938129868,105671.48,105632.0,3.0,0
1970-01-01 00:00:00.000000499,1750163700,4.29095,2025-06-17 12:35:00,0,0,False,False,black,False,False,105680.93000000001,105654.14219064935,105715.78,105653.96,4.0,0
1970-01-01 00:00:00.000000500,1750163760,5.38468,2025-06-17 12:36:00,0,0,False,False,black,False,False,105677.19,105667.53609532467,105707.86,105645.01,5.0,0
1970-01-01 00:00:00.000000501,1750163820,7.81354,2025-06-17 12:37:00,0,0,False,False,black,True,False,105685.55,105672.36304766234,105715.2,105655.9,6.0,1
1970-01-01 00:00:00.000000502,1750163880,8.68614,2025-06-17 12:38:00,0,0,False,False,black,False,False,105729.07499999998,105678.95652383118,105743.48,105678.95652383118,1.0,0
1970-01-01 00:00:00.000000503,1750163940,7.2478,2025-06-17 12:39:00,1,0,False,False,black,False,False,105776.9925,105704.01576191558,105810.51,105704.01576191558,1.0,0
1970-01-01 00:00:00.000000504,1750164000,7.48346,2025-06-17 12:40:00,0,0,False,False,black,False,False,105820.2775,105740.5041309578,105832.91,105740.5041309578,1.0,0
1970-01-01 00:00:00.000000505,1750164060,10.66564,2025-06-17 12:41:00,0,0,False,True,black,False,False,105787.09000000001,105780.3908154789,105840.38,105740.39,1.0,0
1970-01-01 00:00:00.000000506,1750164120,5.46467,2025-06-17 12:42:00,0,0,False,False,black,False,True,105733.54,105783.74040773945,105783.74040773945,105716.48,2.0,0
1970-01-01 00:00:00.000000507,1750164180,4.98928,2025-06-17 12:43:00,0,0,False,False,black,False,False,105735.2675,105758.64020386973,105758.64020386973,105716.49,1.0,0
1970-01-01 00:00:00.000000508,1750164240,10.70743,2025-06-17 12:44:00,0,0,False,False,black,False,False,105758.41249999999,105746.95385193487,105764.27,105746.95385193487,2.0,0
1970-01-01 00:00:00.000000509,1750164300,7.94905,2025-06-17 12:45:00,0,0,False,False,black,False,False,105724.32999999999,105752.68317596742,105761.31,105687.35,3.0,0
1970-01-01 00:00:00.000000510,1750164360,4.52572,2025-06-17 12:46:00,0,1,False,False,black,False,True,105673.975,105738.5065879837,105738.5065879837,105656.04,4.0,-2
1970-01-01 00:00:00.000000511,1750164420,6.6318,2025-06-17 12:47:00,0,0,False,False,red,False,False,105651.1325,105706.24079399186,105706.24079399186,105629.16,1.0,0
1970-01-01 00:00:00.000000512,1750164480,5.77707,2025-06-17 12:48:00,0,0,False,False,red,False,False,105626.70999999999,105678.68664699594,105678.68664699594,105608.38,1.0,0
1970-01-01 00:00:00.000000513,1750164540,7.12241,2025-06-17 12:49:00,0,0,False,False,red,False,False,105605.85250000001,105652.69832349796,105652.69832349796,105600.0,1.0,0
1970-01-01 00:00:00.000000514,1750164600,21.65906,2025-06-17 12:50:00,0,0,False,False,red,False,False,105591.325,105629.27541174898,105629.27541174898,105550.0,1.0,0
1970-01-01 00:00:00.000000515,1750164660,12.14257,2025-06-17 12:51:00,0,0,False,False,red,False,False,105617.83249999999,105610.30020587449,105635.39,105600.28,1.0,0
1970-01-01 00:00:00.000000516,1750164720,6.9224,2025-06-17 12:52:00,0,0,False,False,red,False,False,105617.575,105614.06635293724,105635.39,105593.54,2.0,0
1970-01-01 00:00:00.000000517,1750164780,4.28948,2025-06-17 12:53:00,0,0,False,False,red,False,False,105601.20250000001,105615.82067646862,105615.82067646862,105596.4,3.0,0
1970-01-01 00:00:00.000000518,1750164840,23.34529,2025-06-17 12:54:00,0,0,False,False,red,False,True,105542.775,105608.51158823431,105608.51158823431,105482.29,4.0,-1
1970-01-01 00:00:00.000000519,1750164900,9.54892,2025-06-17 12:55:00,0,0,False,False,red,False,False,105504.925,105575.64329411715,105575.64329411715,105480.0,1.0,0
1970-01-01 00:00:00.000000520,1750164960,25.01833,2025-06-17 12:56:00,0,0,False,False,red,False,False,105494.21,105540.28414705858,105540.28414705858,105420.0,2.0,0
1970-01-01 00:00:00.000000521,1750165020,17.58975,2025-06-17 12:57:00,0,0,True,False,black,False,False,105523.5325,105517.24707352929,105539.58,105505.04,3.0,0
1970-01-01 00:00:00.000000522,1750165080,8.39378,2025-06-17 12:58:00,0,0,False,False,black,False,False,105518.7325,105520.38978676464,105530.31,105506.37,4.0,0
1970-01-01 00:00:00.000000523,1750165140,3.05523,2025-06-17 12:59:00,0,0,False,False,black,False,False,105507.475,105519.56114338232,105519.56114338232,105506.99,5.0,0
1970-01-01 00:00:00.000000524,1750165200,7.78966,2025-06-17 13:00:00,0,0,False,False,black,False,False,105502.35250000001,105513.51807169116,105513.51807169116,105489.83,6.0,0
1970-01-01 00:00:00.000000525,1750165260,6.80946,2025-06-17 13:01:00,0,0,False,False,black,False,False,105519.16,105507.93528584558,105552.18,105505.47,7.0,0
1970-01-01 00:00:00.000000526,1750165320,2.5188,2025-06-17 13:02:00,0,0,False,False,black,False,False,105515.2275,105513.54764292279,105536.67,105505.42,8.0,0
1970-01-01 00:00:00.000000527,1750165380,8.23262,2025-06-17 13:03:00,0,0,False,False,black,False,True,105470.04,105514.38757146138,105514.38757146138,105409.34,9.0,-1
1970-01-01 00:00:00.000000528,1750165440,5.48309,2025-06-17 13:04:00,0,0,True,False,black,False,False,105483.645,105492.21378573068,105509.61,105456.54,1.0,0
1970-01-01 00:00:00.000000529,1750165500,3.24207,2025-06-17 13:05:00,0,0,False,False,black,True,False,105520.65250000001,105487.92939286534,105540.0,105487.92939286534,2.0,0
1970-01-01 00:00:00.000000530,1750165560,4.25458,2025-06-17 13:06:00,0,0,False,False,black,False,False,105538.76,105504.29094643268,105551.83,105504.29094643268,1.0,0
1970-01-01 00:00:00.000000531,1750165620,5.85252,2025-06-17 13:07:00,0,0,False,False,black,True,False,105543.56,105521.52547321634,105552.18,105521.52547321634,2.0,0
1970-01-01 00:00:00.000000532,1750165680,6.34697,2025-06-17 13:08:00,0,0,False,False,black,False,False,105500.425,105532.54273660817,105535.11,105458.16,1.0,0
1970-01-01 00:00:00.000000533,1750165740,10.57615,2025-06-17 13:09:00,0,0,False,False,black,False,False,105477.45999999999,105516.48386830409,105516.48386830409,105459.04,1.0,0
1970-01-01 00:00:00.000000534,1750165800,1.46244,2025-06-17 13:10:00,0,0,False,False,black,False,False,105475.975,105496.97193415204,105496.97193415204,105463.21,2.0,0
1970-01-01 00:00:00.000000535,1750165860,3.05864,2025-06-17 13:11:00,0,0,False,False,black,False,False,105498.76250000001,105486.47346707602,105534.32,105463.21,3.0,0
1970-01-01 00:00:00.000000536,1750165920,6.88469,2025-06-17 13:12:00,0,0,False,False,black,True,False,105553.7175,105492.61798353802,105591.2,105492.61798353802,4.0,0
1970-01-01 00:00:00.000000537,1750165980,4.89367,2025-06-17 13:13:00,0,0,False,False,black,False,False,105547.985,105523.16774176901,105558.62,105523.16774176901,1.0,0
1970-01-01 00:00:00.000000538,1750166040,2.56789,2025-06-17 13:14:00,0,0,False,False,black,False,False,105551.305,105535.5763708845,105574.66,105535.5763708845,2.0,0
1970-01-01 00:00:00.000000539,1750166100,6.55843,2025-06-17 13:15:00,0,0,False,False,black,False,False,105585.255,105543.44068544224,105626.48,105543.44068544224,3.0,0
1970-01-01 00:00:00.000000540,1750166160,4.2439,2025-06-17 13:16:00,1,0,False,False,black,True,False,105605.9,105564.34784272112,105626.48,105564.34784272112,4.0,2
1970-01-01 00:00:00.000000541,1750166220,39.07339,2025-06-17 13:17:00,0,0,False,False,black,False,False,105535.66750000001,105585.12392136056,105606.74,105464.59,1.0,0
1970-01-01 00:00:00.000000542,1750166280,21.47489,2025-06-17 13:18:00,0,1,False,False,black,False,False,105450.76499999998,105560.39571068028,105560.39571068028,105426.81,1.0,0
1970-01-01 00:00:00.000000543,1750166340,8.4758,2025-06-17 13:19:00,0,0,False,False,black,False,False,105467.5275,105505.58035534013,105511.04,105432.0,1.0,0
1970-01-01 00:00:00.000000544,1750166400,12.953,2025-06-17 13:20:00,0,0,False,False,black,False,False,105523.98999999999,105486.55392767006,105570.37,105484.92,2.0,0
1970-01-01 00:00:00.000000545,1750166460,3.18049,2025-06-17 13:21:00,0,0,False,False,black,True,False,105565.605,105505.27196383502,105580.0,105505.27196383502,3.0,0
1970-01-01 00:00:00.000000546,1750166520,4.25363,2025-06-17 13:22:00,0,0,False,False,black,False,False,105546.215,105535.43848191752,105571.68,105515.49,1.0,0
1970-01-01 00:00:00.000000547,1750166580,4.63511,2025-06-17 13:23:00,0,0,False,False,black,False,False,105505.3925,105540.82674095876,105540.82674095876,105481.22,2.0,0
1970-01-01 00:00:00.000000548,1750166640,6.58788,2025-06-17 13:24:00,0,0,False,False,black,False,False,105544.16,105523.10962047937,105600.0,105488.32,3.0,0
1970-01-01 00:00:00.000000549,1750166700,2.40983,2025-06-17 13:25:00,0,0,False,False,black,True,False,105585.6175,105533.63481023969,105600.0,105533.63481023969,4.0,0
1970-01-01 00:00:00.000000550,1750166760,5.8007,2025-06-17 13:26:00,0,0,False,False,black,False,False,105582.9575,105559.62615511984,105599.46,105557.49,1.0,0
1970-01-01 00:00:00.000000551,1750166820,5.1443,2025-06-17 13:27:00,1,0,False,False,green,True,False,105618.4075,105571.29182755992,105640.71,105571.29182755992,2.0,2
1970-01-01 00:00:00.000000552,1750166880,4.88386,2025-06-17 13:28:00,0,0,False,False,green,False,False,105628.58,105594.84966377995,105647.83,105594.84966377995,1.0,0
1970-01-01 00:00:00.000000553,1750166940,7.08722,2025-06-17 13:29:00,0,0,False,False,green,False,False,105627.29999999999,105611.71483188999,105638.34,105611.71483188999,2.0,0
1970-01-01 00:00:00.000000554,1750167000,15.73709,2025-06-17 13:30:00,0,0,False,False,green,True,False,105660.165,105619.50741594499,105696.52,105616.49,3.0,0
1970-01-01 00:00:00.000000555,1750167060,13.28595,2025-06-17 13:31:00,0,0,False,False,black,False,False,105630.78,105639.83620797249,105692.68,105570.56,1.0,0
1970-01-01 00:00:00.000000556,1750167120,34.07139,2025-06-17 13:32:00,0,0,False,False,black,False,True,105562.70499999999,105635.30810398624,105635.30810398624,105512.55,2.0,-1
1970-01-01 00:00:00.000000557,1750167180,10.43338,2025-06-17 13:33:00,0,0,False,False,black,False,False,105578.01000000001,105599.00655199311,105611.56,105544.46,1.0,0
1970-01-01 00:00:00.000000558,1750167240,21.88719,2025-06-17 13:34:00,0,0,False,False,black,True,False,105636.48749999999,105588.50827599656,105692.68,105571.1,2.0,0
1970-01-01 00:00:00.000000559,1750167300,14.94324,2025-06-17 13:35:00,0,0,False,False,black,False,False,105662.14000000001,105612.49788799827,105691.19,105600.58,1.0,0
