,time,volume,Timestamp,RF_BuySignal,RF_SellSignal,rsi_buy,rsi_sell,gaizy_color,GreenArrow,RedArrow,close,open,high,low,BarIndex,Signal_Final
1970-01-01 00:00:00.000000800,1751128500,580.3268,2025-06-28 16:35:00,0,0,False,True,light_green,False,False,2437.6124999999997,2436.843292234669,2439.01,2436.64,8.0,0
1970-01-01 00:00:00.000000801,1751128800,626.225,2025-06-28 16:40:00,0,0,False,False,black,False,False,2434.7325,2437.2278961173342,2437.2278961173342,2432.01,9.0,0
1970-01-01 00:00:00.000000802,1751129100,249.3318,2025-06-28 16:45:00,0,1,False,False,black,False,False,2433.1025,2435.980198058667,2435.980198058667,2431.64,10.0,0
1970-01-01 00:00:00.000000803,1751129400,233.5586,2025-06-28 16:50:00,0,0,False,False,black,False,False,2433.7325,2434.5413490293336,2435.34,2432.98,11.0,0
1970-01-01 00:00:00.000000804,1751129700,217.8358,2025-06-28 16:55:00,0,0,False,False,black,False,False,2433.9775,2434.136924514667,2434.86,2432.74,12.0,0
1970-01-01 00:00:00.000000805,1751130000,392.5184,2025-06-28 17:00:00,0,0,False,False,black,False,False,2434.965,2434.0572122573335,2435.49,2434.0572122573335,13.0,0
1970-01-01 00:00:00.000000806,1751130300,511.5231,2025-06-28 17:05:00,0,0,False,False,black,False,False,2435.9175,2434.511106128667,2437.23,2434.511106128667,14.0,0
1970-01-01 00:00:00.000000807,1751130600,423.3482,2025-06-28 17:10:00,0,0,False,False,black,False,False,2437.7675,2435.2143030643338,2439.28,2435.2143030643338,15.0,0
1970-01-01 00:00:00.000000808,1751130900,262.6977,2025-06-28 17:15:00,0,0,False,False,black,False,False,2437.415,2436.490901532167,2438.55,2436.39,16.0,0
1970-01-01 00:00:00.000000809,1751131200,426.6006,2025-06-28 17:20:00,0,0,False,False,black,False,False,2435.75,2436.9529507660836,2436.9529507660836,2433.31,17.0,0
1970-01-01 00:00:00.000000810,1751131500,254.1326,2025-06-28 17:25:00,0,0,False,False,red,False,False,2435.8725,2436.351475383042,2436.6,2434.13,18.0,0
1970-01-01 00:00:00.000000811,1751131800,277.9852,2025-06-28 17:30:00,0,0,False,False,black,False,False,2436.2075,2436.111987691521,2437.27,2434.96,19.0,0
1970-01-01 00:00:00.000000812,1751132100,571.035,2025-06-28 17:35:00,0,0,False,False,black,False,False,2437.2375,2436.15974384576,2438.66,2435.29,20.0,0
1970-01-01 00:00:00.000000813,1751132400,1315.7236,2025-06-28 17:40:00,1,0,False,False,black,False,False,2439.6475,2436.69862192288,2441.9,2436.69862192288,21.0,0
1970-01-01 00:00:00.000000814,1751132700,1766.5753,2025-06-28 17:45:00,0,0,False,False,black,True,False,2443.14,2438.17306096144,2447.64,2438.17306096144,22.0,2
1970-01-01 00:00:00.000000815,1751133000,1086.6111,2025-06-28 17:50:00,0,0,False,False,black,False,False,2446.0575,2440.65653048072,2447.8,2440.65653048072,1.0,0
1970-01-01 00:00:00.000000816,1751133300,424.3498,2025-06-28 17:55:00,0,0,False,False,black,False,False,2444.75,2443.35701524036,2445.74,2443.35701524036,2.0,0
1970-01-01 00:00:00.000000817,1751133600,856.9165,2025-06-28 18:00:00,0,0,False,True,black,False,False,2442.5299999999997,2444.05350762018,2444.69,2440.5,3.0,0
1970-01-01 00:00:00.000000818,1751133900,374.6896,2025-06-28 18:05:00,0,0,False,False,red,False,False,2440.9825,2443.29175381009,2443.29175381009,2440.29,4.0,0
1970-01-01 00:00:00.000000819,1751134200,476.3572,2025-06-28 18:10:00,0,0,False,False,red,False,False,2440.1274999999996,2442.137126905045,2442.137126905045,2438.7,5.0,0
1970-01-01 00:00:00.000000820,1751134500,380.1336,2025-06-28 18:15:00,0,0,False,False,red,False,False,2439.74,2441.1323134525223,2441.1323134525223,2438.65,6.0,0
1970-01-01 00:00:00.000000821,1751134800,1191.2429,2025-06-28 18:20:00,0,0,False,False,red,False,False,2439.5474999999997,2440.4361567262613,2440.58,2438.4,7.0,0
1970-01-01 00:00:00.000000822,1751135100,957.1965,2025-06-28 18:25:00,0,0,False,False,red,False,False,2438.4625,2439.9918283631305,2440.0,2436.6,8.0,0
1970-01-01 00:00:00.000000823,1751135400,1319.7665,2025-06-28 18:30:00,0,1,False,False,red,False,True,2437.4275,2439.227164181565,2440.0,2435.14,9.0,-2
1970-01-01 00:00:00.000000824,1751135700,496.6193,2025-06-28 18:35:00,0,0,False,False,red,False,False,2436.4275,2438.3273320907824,2438.3273320907824,2436.11,1.0,0
